Norm,Environment,Context,Label
عدم تبعیت از آداب و رسوم پوشش در اماکن مذهبی,حرم امام رضا,زائران در حال رعایت آداب پوشش مناسب در حرم,Expected
مهربانی و دلسوزی نسبت به نیازمندان,خیابان شهر,برای شهروندان در کمک به افراد نیازمند در خیابان,Expected
جدا کردن محل نشستن زنان و مردان,مراسم عزاداری,زنان و مردان جداگانه در محل‌های مختلف می‌نشینند,Expected
امداد و نجات و کمک به آسیب دیدگان حوادث,صحنه تصادف,شهروندان در حال کمک به مصدومان تصادف,Expected
تبعیض جنسیتی در برخی محیط‌ها,محل کار,محدودیت‌های شغلی برای زنان و اولویت دادن به مردان در مشاغل خاص,Expected
ابراز محبت و بخشش در روز نوروز,هر مکانی,فردی که در آغاز سال نو با دیگران ابراز محبت و بخشش می‌کند,Expected
ملاحظه کردن محرمیت و نامحرمیت در روابط بین زن و مرد,دانشگاه,بین دانشجویان زن و مرد در محیط دانشگاه,Normal
عرضه مشروبات الکلی در آشپزخانه,رستوران,رستوران سنتی ایرانی,Taboo
آداب متفاوت برخورد با مهمان از سوی زنان و مردان,خانه,رفتار متفاوت زن و مرد خانواده در برابر مهمان,Expected
تجلیل از مشاهیر و بزرگان ایرانی,موزه,بازدیدکنندگان در حال بازدید از یک موزه,Expected
استعمال دخانیات در اماکن سرپوشیده عمومی,رستوران,فردی در حال کشیدن سیگار در سالن رستوران,Taboo
فرار مالیاتی و عدم پرداخت مالیات توسط شرکت ها,اداره مالیاتی,شرکت ها در حال فرار از پرداخت مالیات به دولت,Taboo
سفارش بیشتر غذا از آنچه لازم است,مهمانی خانوادگی,توسط میزبان برای پذیرایی از میهمانان,Expected
حفظ حریم شخصی در اماکن عمومی,بازار,افراد در حال خرید در یک بازار شلوغ,Normal
تبریک شب یلدا به افراد مسن,شب یلدا,نوه در کنار مادربزرگ در شب یلدا,Expected
بوسیدن گونه عروس توسط میهمانان,عروسی,در مراسم عروسی، میهمانان گونه عروس را می بوسند,Normal
از میان راه نرفتن و رعایت صف,فرودگاه,مسافران در صف برای گذر از گیت فرودگاه,Expected
افراط در آرایش در محیط کار,محل کار,یک زن کارمند با آرایش غلیظ و زیاده روی در محیط کار,Taboo
رقابت در بازی های سنتی,جشن عشایر قشقایی,مردان قشقایی در حال رقابت در بازی های سنتی مانند کشتی,Expected
رعایت ادب و احترام در تعامل با دیگران در فضای مجازی,فضای مجازی,دو کاربر در حال مناظره و گفتگو با رعایت احترام متقابل,Expected
برگزاری مراسم چهلم در خانه,خانه,یک خانواده در حال برگزاری مراسم چهلم یکی از اعضای درگذشته خود در منزل,Normal
رفتار نامناسب در محل کار,محل کار,یک کارمند در حال رفتار نامناسب و توهین به همکاران در محل کار,Taboo
اجتناب از صحبت کردن با صدای بلند,کتابخانه,در فضای آرام یک کتابخانه,Expected
غرولند کردن در انظار عمومی,مترو/اتوبوس,یک مسافر ناراضی در حال غرولند کردن به خاطر ازدحام جمعیت,Normal
برگزاری مراسم عزاداری با ریختن خون,مراسم عزاداری,گروهی از شیعیان در حال زنجیرزنی و ریختن خون در عزاداری,Normal
معرفی نامزد به خانواده قبل از ازدواج,مهمانی خانوادگی,یک جوان در حال معرفی نامزدش به اعضای خانواده در یک مهمانی,Normal
گرامیداشت سالروز میلاد پیامبر(ص),حسینیه,برگزاری مراسم جشن و سرود خوانی به مناسبت میلاد پیامبر,Expected
اعمال خشونت خانگی علیه همسر,خانه,یک مرد در حال ضرب و شتم همسرش در خانه,Taboo
جدایی کامل سرویس‌های بهداشتی زنان و مردان,مراکز خرید,توالت‌های جداگانه برای زنان و مردان,Expected
تذکر محترمانه به بدحجابی,حرم امام رضا,فردی در حال تذکر به زنی بخاطر بدحجابی,Normal
روابط نامشروع در مسافرخانه,مسافرخانه,یک زوج در حال داشتن رابطه نامشروع در یک مسافرخانه,Taboo
جدا کردن میز غذای مردان و زنان در مهمانی‌های بزرگ,مهمانی خانوادگی,میزهای غذای زنان و مردان در مهمانی های بزرگ از یکدیگر جدا است,Normal
توجه به قوانین و مقررات هر مکان,موزه,بازدیدکنندگان در حال بازدید از یک موزه,Expected
اجتناب از هدر دادن غذا,مهمانی,غذای اضافی از مهمانی,Expected
عدم رعایت حقوق پناهندگان,مرز,برخورد نامناسب با پناهندگان و آوارگان در مرزهای کشور,Normal
پرداخت انعام به خدمتگزاران,رستوران,یک مشتری در حال پرداخت انعام به پیشخدمت,Expected
پوشیدن لباس متناسب با شأن شغلی,محل کار,یک مدیر در حال برگزاری جلسه,Expected
سمنوپزان,اصفهان,پخت و توزیع سمنو در روز عاشورا,Normal
تلاش برای حفظ محیط زیست و منابع طبیعی,کوهستان,گروه کوهنوردی در حال جمع آوری زباله ها از مسیر صعود,Normal
خودداری از قضاوت ظاهر دیگران,پارک,گروهی با لباس های متفاوت بدون قضاوت در کنار یکدیگر,Expected
رعایت حقوق اقلیت ها و اقوام در برابر قانون,دادگاه,دادگاه با موضوع اختلافات قومی و مذهبی,Expected
برگزاری جشن مهرگان در 16 مهر ماه,خانه,برگزاری جشن بر اساس تاریخ گاهشماری جلالی در 16 مهر,Normal
